Company_Name,Foundation_Year,Closing_Year,Dynamic Duration,Industries,Status,Currect_Status,Notes,Years,Employee_Number, Revenue , Net_Income , Assets , long_Term_Debt , Total_Liabilities , Holders_Equity , Avg_Stock_Price , Avg_TTM_Net_EPS , Avg_PE_Ratio 
Universal Display (Joled),1994,0,31,Electronics,Active,Active,,2010,86,$31.00 ,($20.00),$92.00 , $-   ,$35.00 ,$57.00 ,$20.17 ,($0.48),($42.02)
Universal Display (Joled),1994,0,31,Electronics,Active,Active,,2009,84,$16.00 ,($21.00),$80.00 , $-   ,$21.00 ,$60.00 ,$11.89 ,($0.56),($21.23)
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2025,0, $-   , $-   , $-   , $-   , $-   , $-   ,$32.53 , $-   , $-   
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2024,63000,"$17,241.00 ",$747.00 ,"$42,232.00 ","$6,362.00 ","$38,546.00 ","$3,685.00 ",$41.35 ,$2.61 ,$15.84 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2023,63000,"$16,164.00 ","$1,142.00 ","$42,369.00 ","$6,344.00 ","$38,034.00 ","$4,334.00 ",$42.44 ,$2.96 ,$14.34 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2022,64000,"$13,127.00 ","$1,473.00 ","$45,692.00 ","$7,433.00 ","$40,482.00 ","$5,210.00 ",$33.53 ,$4.13 ,$8.12 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2021,69000,"$9,680.00 ","$1,254.00 ","$40,899.00 ","$11,771.00 ","$29,922.00 ","$10,977.00 ",$42.15 ,($0.79),($53.35)
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2020,52000,"$5,162.00 ","($1,033.00)","$36,495.00 ","$12,377.00 ","$25,315.00 ","$11,180.00 ",$20.45 ,$2.53 ,$8.08 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2019,70000,"$12,900.00 ","$2,049.00 ","$33,876.00 ","$11,169.00 ","$21,213.00 ","$12,663.00 ",$28.37 ,$1.19 ,$23.84 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2018,72000,"$11,763.00 ",$445.00 ,"$30,211.00 ","$15,088.00 ","$19,741.00 ","$10,470.00 ",$28.06 ,$2.69 ,$10.43 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2017,68000,"$10,797.00 ","$1,934.00 ","$29,160.00 ","$12,751.00 ","$17,549.00 ","$11,611.00 ",$29.69 ,$2.07 ,$14.34 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2016,69000,"$9,478.00 ","$1,100.00 ","$28,173.00 ","$12,979.00 ","$18,204.00 ","$9,969.00 ",$23.34 ,$0.28 ,$83.36 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2015,59500,"$9,190.00 ",($448.00),"$25,215.00 ","$12,368.00 ","$17,451.00 ","$7,764.00 ",$18.98 ,($0.32),($59.31)
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2014,62000,"$10,082.00 ",($150.00),"$26,594.00 ","$12,805.00 ","$18,966.00 ","$7,628.00 ",$22.74 ,$0.03 ,$758.00 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2013,61700,"$9,810.00 ",($172.00),"$26,085.00 ","$13,447.00 ","$18,224.00 ","$7,860.00 ",$16.96 ,($2.32),($7.31)
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2012,61000,"$9,161.00 ","($1,768.00)","$26,285.00 ","$13,589.00 ","$18,169.00 ","$8,116.00 ",$11.12 ,($0.22),($50.55)
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2011,61000,"$7,849.00 ","$3,115.00 ","$27,766.00 ","$13,470.00 ","$17,884.00 ","$9,882.00 ",$10.87 ,$3.22 ,$3.38 
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2010,61000,"$6,056.00 ","($1,437.00)","$18,952.00 ","$12,048.00 ","$16,020.00 ","$2,932.00 ",$11.27 ,($3.89),($2.90)
Metro-Goldwyn-Mayer (MGM),1924,2021,97,Film Production,Defunct,Re_Opened,Acquired by Amazon 2022,2009,62000,"$6,011.00 ","($1,292.00)","$22,518.00 ","$12,976.00 ","$18,648.00 ","$3,870.00 ",$8.61 ,($2.90),($2.97)
Toys 'R' Us,1948,2018,70,Retail Stores,Defunct,Re_Opened,Relaunch underway,2024,44888,$8.00 ,($19.00),$18.00 , $-   ,$33.00 ,($15.00), $-   , $-   , $-   
Toys 'R' Us,1948,2018,70,Retail Stores,Defunct,Re_Opened,Relaunch underway,2023,0,$22.00 ,($33.00),$35.00 ,$1.00 ,$33.00 ,$2.00 , $-   , $-   , $-   
Toys 'R' Us,1948,2018,70,Retail Stores,Defunct,Re_Opened,Relaunch underway,2022,0,$38.00 ,($25.00),$51.00 ,$10.00 ,$17.00 ,$34.00 , $-   , $-   , $-   
Toys 'R' Us,1948,2018,70,Retail Stores,Defunct,Re_Opened,Relaunch underway,2021,0,$22.00 ,($3.00),$64.00 , $-   ,$8.00 ,$56.00 , $-   , $-   , $-   
Toys 'R' Us,1948,2018,70,Retail Stores,Defunct,Re_Opened,Relaunch underway,2020,64000, $-   ,($9.00),$5.00 ,$8.00 ,$14.00 ,($9.00), $-   , $-   , $-   
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2025,0, $-   , $-   , $-   , $-   , $-   , $-   ,$6.67 , $-   , $-   
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2024,0, $-   , $-   , $-   , $-   , $-   , $-   ,$5.40 ,$0.64 ,$8.44 
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2023,4000,"$1,117.00 ",$56.00 ,"$2,355.00 ",$457.00 ,"$1,424.00 ",$931.00 ,$4.21 ,$0.62 ,$6.79 
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2022,4200,"$1,205.00 ",$13.00 ,"$2,285.00 ",$316.00 ,"$1,244.00 ","$1,041.00 ",$4.09 ,$0.06 ,$68.17 
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2021,4200,"$1,150.00 ",$22.00 ,"$2,171.00 ",$253.00 ,"$1,390.00 ",$781.00 ,$6.92 ,($3.25),($2.13)
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2020,4500,"$1,029.00 ",($561.00),"$1,248.00 ",$17.00 ,"$1,171.00 ",$77.00 ,$5.23 ,($5.28),($0.99)
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2019,4922,"$1,242.00 ",$96.00 ,"$1,415.00 ",$109.00 ,"$1,316.00 ",$99.00 ,$3.16 ,$2.92 ,$1.08 
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2018,5400,"$1,320.00 ",($36.00),"$1,510.00 ",$5.00 ,"$1,513.00 ",($3.00),$3.70 ,$1.13 ,$3.27 
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2017,5800,"$1,386.00 ",$75.00 ,"$1,707.00 ",$399.00 ,"$1,650.00 ",$57.00 ,$7.76 ,$0.50 ,$15.52 
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2016,6100,"$1,643.00 ",$15.00 ,"$1,776.00 ",$405.00 ,"$1,849.00 ",($73.00),$14.36 ,($0.06),($239.33)
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2015,6400,"$1,803.00 ",($80.00),"$2,138.00 ",$679.00 ,"$2,035.00 ",$103.00 ,$15.99 ,($2.86),($5.59)
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2014,7300,"$2,046.00 ",($123.00),"$2,556.00 ",$672.00 ,"$2,257.00 ",$299.00 ,$22.72 ,($1.56),($14.56)
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2013,8800,"$2,358.00 ","$1,985.00 ","$3,200.00 ",$674.00 ,"$2,552.00 ",$648.00 , $-   , $-   , $-   
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2012,13000,"$2,719.00 ","($1,379.00)","$4,321.00 ",$740.00 ,"$7,998.00 ","($3,677.00)", $-   , $-   , $-   
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2011,17100,"$3,585.00 ",($764.00),"$4,678.00 ","$1,363.00 ","$7,028.00 ","($2,350.00)", $-   , $-   , $-   
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2010,18800,"$5,993.00 ",($687.00),"$6,226.00 ","$1,195.00 ","$7,301.00 ","($1,075.00)", $-   , $-   , $-   
Eastman Kodak,1888,2012,124,Photography,Defunct,Re_Opened,Restructured after bankruptcy,2009,20250,"$7,609.00 ",($210.00),"$7,691.00 ","$1,129.00 ","$7,724.00 ",($33.00), $-   , $-   , $-   
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2020,0, $-   , $-   , $-   , $-   , $-   , $-   ,$3.56 , $-   , $-   
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2019,18000,"$1,553.00 ",($199.00),$656.00 ,$246.00 ,$567.00 ,$90.00 ,$12.86 ,($65.06),($0.20)
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2018,18500,"$1,799.00 ",$12.00 ,$772.00 ,$198.00 ,$495.00 ,$278.00 ,$43.80 ,($10.85),($4.04)
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2017,20500,"$1,828.00 ",$30.00 ,$843.00 ,$199.00 ,$551.00 ,$292.00 ,$99.94 ,$7.15 ,$13.98 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2016,22000,"$1,892.00 ",$40.00 ,$819.00 ,$200.00 ,$534.00 ,$285.00 ,$94.95 ,$6.65 ,$14.28 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2015,24000,"$1,885.00 ",$75.00 ,$907.00 ,$201.00 ,$570.00 ,$337.00 ,$181.72 ,$14.45 ,$12.58 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2014,22200,"$1,791.00 ",$108.00 ,$804.00 ,$10.00 ,$354.00 ,$449.00 ,$282.74 ,$19.15 ,$14.76 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2013,21400,"$1,705.00 ",$129.00 ,$857.00 ,$10.00 ,$320.00 ,$537.00 ,$380.06 ,$23.95 ,$15.87 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2012,19700,"$1,534.00 ",$169.00 ,$823.00 ,$10.00 ,$330.00 ,$494.00 ,$298.16 ,$31.85 ,$9.36 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2011,17000,"$1,396.00 ",$100.00 ,$744.00 ,$10.00 ,$331.00 ,$413.00 ,$193.22 ,$18.10 ,$10.68 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2010,16200,"$1,291.00 ",$87.00 ,$643.00 ,$19.00 ,$340.00 ,$303.00 ,$124.95 ,$14.60 ,$8.56 
Pier 1 Imports,1962,2020,58,Party Supplies,Defunct,Defunct,,2009,16700,"$1,321.00 ",($129.00),$655.00 ,$184.00 ,$511.00 ,$144.00 ,$63.31 ,$3.80 ,$16.66 
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2010,25000,$3.24 ,($268.00),"$1,183.50 ",,"$1,735,500.00 ","($552,000.00)", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2009,0, $-   ,($558.20),"$1,538.30 ",$836.00 ,"$1,852,600.00 ","($314,300.00)", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2008,0, $-   ,($374.10),"$2,154.50 ",$583.00 ,"$1,940,200.00 ","$214,300.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2007,0, $-   ,($73.80),"$2,733.60 ",$665.60 ,"$2,077,900.00 ","$655,700.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2006,0, $-   ,$50.50 ,"$3,134.60 ",$851.00 ,"$2,411,300.00 ","$723,300.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2005,0, $-   ,($583.90),"$3,179.60 ","$1,059.40 ","$2,548,000.00 ","$631,600.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2004,84300, $-   ,"($1,248.80)","$3,994.60 ","$1,044.90 ","$2,931,700.00 ","$1,062,900.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2003,0, $-   ,($978.70),"$4,822.00 ",$0.70 ,"$1,633,600.00 ","$3,188,400.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2002,0, $-   ,"($1,621.10)","$6,243.80 ",$328.90 ,"$2,076,800.00 ","$4,167,000.00 ", $-   , $-   , $-   
Blockbuster,1985,2010,25,Movie Rental,Defunct,Defunct,,2001,0, $-   ,($240.30),"$7,752.40 ",$458.40 ,"$2,003,700.00 ","$5,748,700.00 ", $-   , $-   , $-   
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2025,0, $-   , $-   , $-   , $-   , $-   , $-   ,$4.47 , $-   , $-   
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2024,2647,$853.00 ,($130.00),"$1,395.00 ",$194.00 ,$619.00 ,$776.00 ,$2.62 ,($0.25),($10.48)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2023,3181,$656.00 ,($734.00),"$1,679.00 ", $-   ,$822.00 ,$857.00 ,$4.62 ,($1.11),($4.16)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2022,3325,$718.00 ,$12.00 ,"$2,567.00 ",$507.00 ,"$1,011.00 ","$1,556.00 ",$5.93 ,($0.55),($10.78)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2021,3497,$893.00 ,"($1,104.00)","$2,818.00 ",$720.00 ,"$1,314.00 ","$1,504.00 ",$10.26 ,($1.26),($8.14)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2020,3668,"$1,040.00 ",($152.00),"$3,888.00 ", $-   ,"$1,359.00 ","$2,529.00 ",$5.22 ,($1.13),($4.62)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2019,3945,$904.00 ,$93.00 ,"$3,968.00 ",$665.00 ,"$1,332.00 ","$2,636.00 ",$7.25 ,($0.11),($65.91)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2018,3288,$932.00 ,$405.00 ,"$3,780.00 ",$782.00 ,"$1,275.00 ","$2,505.00 ",$10.86 ,($0.28),($38.79)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2017,4044,"$1,309.00 ","($1,206.00)","$3,296.00 ",$591.00 ,"$1,239.00 ","$2,057.00 ",$9.39 ,($0.18),($52.17)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2016,4534,"$2,160.00 ",($208.00),"$5,534.00 ","$1,277.00 ","$2,326.00 ","$3,208.00 ",$7.60 ,($2.09),($3.64)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2015,6225,"$3,335.00 ",($304.00),"$6,558.00 ","$1,707.00 ","$3,127.00 ","$3,431.00 ",$9.04 ,($0.68),($13.29)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2014,8057,"$6,813.00 ","($5,873.00)","$7,552.00 ","$1,627.00 ","$3,927.00 ","$3,625.00 ",$9.54 ,($8.58),($1.11)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2013,12700,"$11,073.00 ",($646.00),"$13,165.00 ", $-   ,"$3,705.00 ","$9,460.00 ",$10.94 ,($3.40),($3.22)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2012,16500,"$18,423.00 ","$1,164.00 ","$13,731.00 ", $-   ,"$3,631.00 ","$10,100.00 ",$10.70 ,($0.17),($62.94)
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2011,17500,"$19,907.00 ","$3,411.00 ","$12,875.00 ", $-   ,"$3,937.00 ","$8,938.00 ",$39.85 ,$5.60 ,$7.12 
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2010,13873,"$14,953.00 ","$2,457.00 ","$10,205.00 ", $-   ,"$2,602.00 ","$7,603.00 ",$59.06 ,$4.99 ,$11.84 
BlackBerry,1984,0,41,Mobile Phones,Active,Active,Switched to cybersecurity,2009,12800,"$11,065.00 ","$1,893.00 ","$8,101.00 ", $-   ,"$2,227.00 ","$5,874.00 ",$57.89 ,$3.95 ,$14.66 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2025,0, $-   , $-   , $-   , $-   , $-   , $-   ,$5.31 , $-   ,$21.24 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2024,80361,"$20,798.00 ","$1,382.00 ","$42,363.00 ","$3,158.00 ","$19,913.00 ","$22,450.00 ",$3.96 ,$0.14 ,$36.42 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2023,86689,"$24,090.00 ",$720.00 ,"$43,140.00 ","$3,936.00 ","$20,815.00 ","$22,326.00 ",$3.81 ,$0.59 ,$10.81 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2022,86900,"$26,246.00 ","$4,478.00 ","$45,245.00 ","$4,477.00 ","$22,670.00 ","$22,574.00 ",$4.31 ,$0.45 ,$11.06 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2021,87900,"$26,267.00 ","$1,920.00 ","$47,382.00 ","$5,368.00 ","$26,723.00 ","$20,659.00 ",$4.72 ,($0.20),$4.13 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2020,92039,"$24,962.00 ","($2,882.00)","$41,341.00 ","$5,729.00 ","$27,011.00 ","$14,330.00 ",$3.46 ,($0.04),$24.14 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2019,98322,"$26,113.00 ",$8.00 ,"$43,823.00 ","$4,463.00 ","$26,574.00 ","$17,249.00 ",$4.36 ,($0.07), $-   
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2018,103083,"$26,647.00 ",($402.00),"$46,670.00 ","$3,340.00 ","$28,516.00 ","$18,153.00 ",$4.95 ,($0.18), $-   
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2017,101731,"$26,163.00 ","($1,689.00)","$46,369.00 ","$3,907.00 ","$28,038.00 ","$18,331.00 ",$4.69 ,($0.16), $-   
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2016,101000,"$26,131.00 ",($848.00),"$49,687.00 ","$4,047.00 ","$26,477.00 ","$23,211.00 ",$4.51 ,$0.23 ,$11.02 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2015,56690,"$13,879.00 ","$2,738.00 ","$23,236.00 ","$2,246.00 ","$11,550.00 ","$11,686.00 ",$5.48 ,$0.69 ,$9.87 
Nokia,1865,2014,149,Mobile Phones,Defunct,Active,Shifted focus to networks,2014,61656,"$16,925.00 ","$4,602.00 ","$27,999.00 ","$3,424.00 ","$16,475.00 ","$11,524.00 ",$5.87 ,$0.64 ,$5.13 
