"company_id","company_name","years","employees_number","status"
62,"Lions Gate Entertainment",NA,1427,"Active"
62,"Lions Gate Entertainment",NA,795,"Active"
62,"Lions Gate Entertainment",NA,719,"Active"
62,"Lions Gate Entertainment",NA,665,"Active"
62,"Lions Gate Entertainment",NA,636,"Active"
62,"Lions Gate Entertainment",NA,607,"Active"
62,"Lions Gate Entertainment",NA,486,"Active"
62,"Lions Gate Entertainment",NA,497,"Active"
62,"Lions Gate Entertainment",NA,509,"Active"
63,"Walmart",NA,2100000,"Active"
63,"Walmart",NA,2100000,"Active"
63,"Walmart",NA,2100000,"Active"
63,"Walmart",NA,2300000,"Active"
63,"Walmart",NA,2300000,"Active"
63,"Walmart",NA,2200000,"Active"
63,"Walmart",NA,2200000,"Active"
63,"Walmart",NA,2300000,"Active"
63,"Walmart",NA,2300000,"Active"
63,"Walmart",NA,2300000,"Active"
63,"Walmart",NA,2200000,"Active"
63,"Walmart",NA,2200000,"Active"
63,"Walmart",NA,2200000,"Active"
63,"Walmart",NA,2200000,"Active"
63,"Walmart",NA,2100000,"Active"
63,"Walmart",NA,2100000,"Active"
63,"Walmart",NA,2100000,"Active"
65,"Dollar Tree",NA,211826,"Active"
65,"Dollar Tree",NA,207548,"Active"
65,"Dollar Tree",NA,210565,"Active"
65,"Dollar Tree",NA,199327,"Active"
65,"Dollar Tree",NA,193100,"Active"
65,"Dollar Tree",NA,182100,"Active"
65,"Dollar Tree",NA,176100,"Active"
65,"Dollar Tree",NA,176800,"Active"
65,"Dollar Tree",NA,167800,"Active"
65,"Dollar Tree",NA,90000,"Active"
65,"Dollar Tree",NA,87400,"Active"
65,"Dollar Tree",NA,81920,"Active"
65,"Dollar Tree",NA,72770,"Active"
65,"Dollar Tree",NA,63860,"Active"
65,"Dollar Tree",NA,54480,"Active"
65,"Dollar Tree",NA,45840,"Active"
66,"Netflix",NA,14000,"Active"
66,"Netflix",NA,13000,"Active"
66,"Netflix",NA,12800,"Active"
66,"Netflix",NA,11300,"Active"
66,"Netflix",NA,9400,"Active"
66,"Netflix",NA,8600,"Active"
66,"Netflix",NA,7300,"Active"
66,"Netflix",NA,5500,"Active"
66,"Netflix",NA,4700,"Active"
66,"Netflix",NA,3700,"Active"
66,"Netflix",NA,2189,"Active"
66,"Netflix",NA,2022,"Active"
66,"Netflix",NA,2045,"Active"
66,"Netflix",NA,2348,"Active"
66,"Netflix",NA,2180,"Active"
66,"Netflix",NA,1883,"Active"
67,"Apple",NA,164000,"Active"
67,"Apple",NA,161000,"Active"
67,"Apple",NA,164000,"Active"
67,"Apple",NA,154000,"Active"
67,"Apple",NA,147000,"Active"
67,"Apple",NA,137000,"Active"
67,"Apple",NA,132000,"Active"
67,"Apple",NA,123000,"Active"
67,"Apple",NA,116000,"Active"
67,"Apple",NA,110000,"Active"
67,"Apple",NA,97000,"Active"
67,"Apple",NA,84400,"Active"
67,"Apple",NA,76100,"Active"
67,"Apple",NA,63300,"Active"
67,"Apple",NA,49400,"Active"
67,"Apple",NA,36800,"Active"
