"company_id","company_name","years","status","revenue","assets","total_liabilities","holders_equity","net_income","long_term_debt"
7,"Blockbuster",NA,"Defunct",0,2154500,1940200,214300,-374100,583000
7,"Blockbuster",NA,"Defunct",0,2733600,2077900,655700,-73800,665600
7,"Blockbuster",NA,"Defunct",0,3134600,2411300,723300,50500,851000
7,"Blockbuster",NA,"Defunct",0,3179600,2548000,631600,-583900,1059400
7,"Blockbuster",NA,"Defunct",0,3994600,2931700,1062900,-1248800,1044900
7,"Blockbuster",NA,"Defunct",0,4822000,1633600,3188400,-978700,700
7,"Blockbuster",NA,"Defunct",0,6243800,2076800,4167000,-1621100,328900
7,"Blockbuster",NA,"Defunct",0,7752400,2003700,5748700,-240300,458400
8,"BlackBerry",NA,"Defunct",853,1395,619,776,-130,194
8,"BlackBerry",NA,"Defunct",656,1679,822,857,-734,0
8,"BlackBerry",NA,"Defunct",718,2567,1011,1556,12,507
8,"BlackBerry",NA,"Defunct",893,2818,1314,1504,-1104,720
8,"BlackBerry",NA,"Defunct",1040,3888,1359,2529,-152,0
8,"BlackBerry",NA,"Defunct",904,3968,1332,2636,93,665
8,"BlackBerry",NA,"Defunct",932,3780,1275,2505,405,782
8,"BlackBerry",NA,"Defunct",1309,3296,1239,2057,-1206,591
8,"BlackBerry",NA,"Defunct",2160,5534,2326,3208,-208,1277
8,"BlackBerry",NA,"Defunct",3335,6558,3127,3431,-304,1707
8,"BlackBerry",NA,"Defunct",6813,7552,3927,3625,-5873,1627
8,"BlackBerry",NA,"Defunct",11073,13165,3705,9460,-646,0
8,"BlackBerry",NA,"Defunct",18423,13731,3631,10100,1164,0
8,"BlackBerry",NA,"Defunct",19907,12875,3937,8938,3411,0
8,"BlackBerry",NA,"Defunct",14953,10205,2602,7603,2457,0
8,"BlackBerry",NA,"Defunct",11065,8101,2227,5874,1893,0
60,"CVS Health",NA,"Active",372809,253215,177485,75730,4614,60527
60,"CVS Health",NA,"Active",357776,249728,173092,76636,8344,58638
60,"CVS Health",NA,"Active",322467,228275,156506,71769,4311,50476
60,"CVS Health",NA,"Active",292111,232999,157618,75381,8001,51971
60,"CVS Health",NA,"Active",268706,230715,161014,69701,7179,59207
